epoch,training/train_loss_mean,evaluation/eval_return,time/total
0,0.8725777332976445,34.8,1374.5908031463623
1,0.7728951254723184,36.6,3098.91642165184
2,0.6994275891912378,52.3,4550.548995733261
3,0.6288899939241954,67.7,6090.7179617881775
4,0.5745365338375719,54.4,7489.623579263687
5,0.5484252846169256,62.4,9096.616928577423
6,0.5309967899782847,42.4,10468.739354372025
7,0.5189677833046096,86.7,11874.27667927742
8,0.5166887670695602,40.4,13229.339423894882
9,0.5100936193015415,27.0,14879.204971075058
